# Copyright (c) 1966-2018 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement.
# Generated: 2018-10-22
# See end of file for additional documentation on specific fields
# Sort	Month	Day	Year	Cyto Location	Gene Symbols	Confidence (deprecated)	Gene Name	MIM Number	Mapping Method	Comments	Phenotypes	Mouse Gene Symbol
14.491	3	23	09	14q32.31	MIR134		Micro RNA 134	610164	REc			
14.492	3	23	09	14q32.2	MIR136, MIRN136		Micro RNA 136	611710	R			
14.493	6	22	14	14q32.31	MIR376C, MIR368		Micro RNA 368C	610983	REc			
14.494	7	1	11	14q32.31	MIR369, MIR369-3, MIRN369-3		Micro RNA 369	611794	REc			
14.495	1	24	09	14q32.31	MIR370, MIRN370		Micro RNA 370	612553	REc			
14.496	3	23	09	14q32.31	MIR376A-1, MIRN376A-1		Micro RNA 376A-1	610959	R			
14.497	3	23	09	14q32.31	MIR376A-2, MIRN376A-2		Micro RNA 376A-2	610960	R			
14.498	3	23	09	14q32.31	MIR376B, MIRN376B		Micro RNA 376b	610961	R			
14.499	5	19	15	14q32.31	MIR379		Micro RNA 379	616358	REc			12(Mir379)
14.500	7	1	11	14q32.31	MIR409, MIRN409		Micro RNA 409	614057	REc			
14.501	1	29	13	14q32.31	MIR410		Micro RNA 410	615036	REc			
14.502	3	23	09	14q32.2	MIR431, MIRN431		Micro RNA 431	611708	R			
14.503	3	23	09	14q32.2	MIR433, MIRN433		Micro RNA 433	611711	R			
14.504	9	9	13	14q32.31	MIR485		Micro RNA 485	615385	REc			
14.505	1	29	13	14q32.31	MIR487B		Micro RNA 487B	615037	REc			
14.506	10	12	14	14q32.31	MIR494		Micro RNA 494	616036	REc			
14.507	4	8	13	14q32.31	MIR551A		Micro RNA 495	615149	REc			
14.508	5	19	15	14q32.31	MIR656		Micro RNA 656	616376	REc			
14.509	6	4	97	14q32.31	PPP2R5C		Protein phosphatase-2, regulatory subunit B (B56), gamma isoform	601645	A	pseudogene on 3p21		
14.510	1	29	13	14q32.31	TECPR2, KIAA0329, SPG49		Tectonin beta-propeller repeat-containing protein 2	615000	REc, R		Spastic paraplegia 49, autosomal recessive, 615031 (3)	
14.511	10	25	17	14q32.2	WARS, HMN9		Tryptophanyl-tRNA synthetase	191050	S, A, Fd		Neuronopathy, distal hereditary motor, type IX, 617721 (3)	
14.512	10	25	17	14q32.31	WDR20		WD repeat-containing protein 20	617741	REc			
14.513	3	14	18	14q32.32	TRAF3, CD40BP, LAP1, CAP1, CRAF1, IIAE5		TNF receptor-associated factor 3	601896	REc	mutation identified in 1 IIAE5 patient	{?Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 5}, 614849 (3)	
14.514	7	15	16	14q32.33	ADSSL1, MPD5		Adenylosuccinate synthase-like 1	612498	REc		Myopathy, distal, 5, 617030 (3)	
14.515	10	12	14	14q32.33	APOPT1, APOP		Apoptogenic protein 1, mitochondrial	616003	REc		Mitochondrial complex IV deficiency, 220110 (3)	12(Apopt1)
14.516	2	3	15	14q32.33	BRF1, TAF3C, GTF3B, TF3B90, CFDS		BRF1, S. cerevisiae, homolog of (TATA box-binding protein-associated factor 3C)	604902	R, REc		Cerebellofaciodental syndrome, 616202 (3)	
14.517	9	24	08	14q32.33	CDCA4, HEPP		Cell division cycle-associated protein 4	612270	REc			
14.518	11	15	05	14q32.33	CRIP1, CRIP		Cysteine-rich intestinal protein 1	123875	Psh, R, H	previously assigned to 7q11.23		12(Crip)
14.519	3	9	00	14q32.33	C14orf2, MP68		MP68, rat, homolog of	604573	R			
14.520	4	8	08	14q32.33	IGHD@		Immunoglobulin heavy chain diversity gene cluster	146910	RE, REa, A	many genes		
14.521	10	23	87	14q32.33	IGHA1		Constant region of heavy chain of IgA1	146900	REa, A	Fused with IRTA1 in multiple myeloma		
14.522	10	23	87	14q32.33	IGHA2		Constant region of heavy chain of IgA2	147000	REa, A			
14.523	4	30	91	14q32.33	IGHD		Constant region of heavy chain of IgD	147170	REa, A, Fd			
14.524	4	8	08	14q32.33	IGHD3-3, DXP4		Immunoglobulin heavy chain diversity gene 3-3	611937	REn			
14.525	10	23	87	14q32.33	IGHE		Constant region of heavy chain of IgE	147180	REa, A	pseudogene IGHEP1 nearby; IGHEP2 on chr.9		
14.526	10	23	87	14q32.33	IGHG1		Constant region of heavy chain of IgG1	147100	REa, A			
14.527	4	8	98	14q32.33	IGHG2		Constant region of heavy chain of IgG2	147110	REa, A	5'-G2-17kb-G4-3'; closeness of IGG3 and IGG1 known from Lepore-like myeloma protein	IgG2 deficiency, selective (3)	
14.528	4	30	91	14q32.33	IGHG3		Constant region of heavy chain of IgG3	147120	REa, A, Fd			
14.529	10	23	87	14q32.33	IGHG4		Constant region of heavy chain of IgG4	147130	REa, A			
14.530	4	15	08	14q32.33	IGHJ@		Immunoglobulin heavy chain joining gene cluster	147010	RE, REa, A	more than 4 genes		
14.531	8	10	10	14q32.33	IGHM, MU, AGM1		Constant region of heavy chain of IgM	147020	REa, A		Agammaglobulinemia 1, 601495 (3)	
14.532	9	15	89	14q32.33	IGHR		Immunoglobulin heavy chain regulator	144120	F		?Hyperimmunoglobulin G1 syndrome (2)	
14.533	4	15	08	14q32.33	IGHV@		Immunoglobin heavy polypeptide, variable gene cluster	147070	REa, RE, A	~250 genes; orientation: cen-PI-D14S1-IGH-IGHV--qter; 3' centromeric, 5' telomeric; IgM telomeric to IgG		
14.534	2	21	10	14q32.33	KIF26A, KIAA1236		Kinesin family member 26A	613231	R, REc			
14.535	4	15	08	14q32.33	IGHV3-23, IGHV323, DP47, VH26		Immunoglobulin heavy chain variable gene 3-23	611939	REn			
14.536	1	30	12	14q32.33	INF2, FSGS5, C14orf173, CMTDIE		Inverted formin 2	610982	REc		Glomerulosclerosis, focal segmental, 5, 613237 (3); Charcot-Marie-Tooth disease, dominant intermediate E, 614455 (3)	
14.537	10	28	15	14q32.33	KIAA0125, FAM30A, C14orf110		KIAA0125 gene, noncoding	616623	Psh, REc			
14.538	3	23	09	14q32.33	MIR203, MIRN203		Micro RNA 203	611899	REc			
14.539	8	3	18	14q32.33	PACS2, KIAA0602, EIEE66		Phosphofurin acidic cluster sorting protein 2	610423	R, REc		Epileptic encephalopathy, early infantile, 66, 618067 (3)	
14.540	7	2	18	14q32.33	PPP1R13B, ASPP1, KIAA0771		Protein phosphatase 1, regulatory subunit 13B	606455	REc			
14.541	09	07	18	14q32.33	TDRD9, C14orf75, HLS, SPNE, SPGF30		TUDOR domain-containing protein 9	617963	REc	mutation identified in one SPGF30 family	?Spermatogenic failure 30, 618110 (3)	
14.542	2	25	15	14q32.33	ZBTB42, ZNF925, LCCS6		Zinc finger- and BTB domain-containing protein 42	613915	REc	mutation identified in 1 LCCS6 family	?Lethal congenital contracture syndrome 6, 616248 (3)	
14.543	12	15	10	14q32.33	ZFYVE21, ZF21		Zinc finger FYVE domain-containing protein 21	613504	REc			
14.544	10	23	87	Chr.14	LCH		Lentil agglutinin-binding	151020	S			
14.545	5	12	00	14q22.1	MAP4K5, MAPKKKK5		Mitogen-activated protein kinase kinase kinase kinase-5	604923	R			
14.546	9	3	02	14q12	NFATC4		Nuclear factor of activated T cells, cytoplasmic, calcineurin-dependent 4	602699	R			
14.547	11	21	02	14q22.1	NID2		Nidogen 2	605399	H			14(Nid2)
14.548	1	27	04	Chr.14	PHOBS		Phobia, specific	608251	Fd		Phobia, specific (2)	
14.549	9	20	00	14q21.1	PNN, DRS		Pinin	603154	R			
14.550	10	21	15	Chr.14	RC14S		Ring chromosome 14 syndrome	616606	Ch		Ring chromosome 14 syndrome (4)	
14.551	4	4	03	14q32.31-q32.32	RCOR, COREST, KIAA0071		REST corepressor	607675	R			
14.552	1	28	02	14q21.3	RPL36AL, RPL36A		Ribosomal protein L36a-like	180469	Psh			
15.1	4	26	90	15p12	RNR3		Ribosomal RNA-3	180452	A			
15.2	11	16	98	15q13.1	APBA2		Amyloid beta A4 precursor protein-binding, family A, member 2	602712	R			7(Apba2)
15.3	2	1	00	15q	HYT2		Hypertension, essential, susceptibility to, 2	604329	Fd		{Hypertension, essential, susceptibility to, 2}, 145500 (2)	
15.4	5	24	01	15q	LCS1, CHLS		Cholestasis-lymphedema syndrome	214900	Fd, HZ		Cholestasis-lymphedema syndrome (2)	
15.5	1	13	99	15q21.3	NEDD4		Neural precursor cell expressed, developmentally downregulated-4	602278	H, A			
15.6	10	20	99	15q22.31	RPL4		Ribosomal protein L4	180479	REa, R			
15.7	1	13	09	15q25.2	RPS17, RPS17L1, RPS17L2, DBA4		Ribosomal protein S17	180472	Psh, R	previously on chr.11; pseudogenes on 5q33-qter and 17q	Diamond-Blackfan anemia 4, 612527 (3)	
15.8	5	16	07	15q11	AUTS4		Autism, susceptibility to, 4	608636	Ch		{Autism susceptibility 4} (2)	
15.9	11	15	08	15q11.2	CYFIP1, KIAA0068		Cytoplasmic FMRP interacting protein 1	606322	R, REc			
15.10	7	17	91	15q11-q12	IGHDY2		Immunoglobulin heavy chain diversity region-2	146990	A	?functional		
15.11	10	23	87	15q11-q12	MIC7		Attached cell antigen 28.3.7	108990	S			
15.12	6	5	03	15q12	ATP10A, ATP10C, ATPVC		ATPase, class V, type 10A	605855	R, REc, D			
15.13	4	4	06	15q11-q13	CELIAC5, GSES		Celiac disease, susceptibility to, 5	607202	Fd	in homogeneous Finnish population	{Celiac disease, susceptibility to, 5} (2)	
15.14	11	28	05	15q11-q13	GLC1I		Glaucoma 1, open angle, I	609745	Fd	max lod at GABRB3	Glaucoma 1, open angle, I (2)	
15.15	11	8	96	15q11.2	IPW		Imprinted in Prader-Willi syndrome	601491	REc			
15.16	1	25	93	15q24.2	MAN2C1, MANA		Mannosidase, alpha, class 2C, member 1	154580	S, D			
15.17	8	1	13	15q11.2	MKRN3, ZFP127, ZNF127, CPPB2		Makorin 3	603856	REc	expressed only from paternal allele	Precocious puberty, central, 2, 615346 (3)	7(Znf127)
15.18	11	3	99	15q11-q13	MRKN3AS, ZNF127AS		MKRN3 antisense RNA	603857	REc			
15.19	4	5	00	15q11.2	NDN		Necdin	602117	A, Psh, REc		Prader-Willi syndrome, 176270 (3)	7(Ndn)
15.20	11	13	94	15q11.2	D15S227E, PAR1		Prader-Willi/Angelman region-1	600161	REn	paternally imprinted		
15.21	11	13	94	15q11.2	D15S226E, PAR5		Prader-Willi/Angelman syndrome-5	600162	REn	paternally imprinted		
15.22	2	20	97	15q11.2	UBE3A, ANCR		Ubiquitin protein ligase E3A	601623	Ch, D, REc	same location as PWS	Angelman syndrome, 105830 (3)	
15.23	6	6	12	15q13.3	SCG5, SGNE1		Secretogranin V (7B2 protein )	173120	A			2(Sgne1)
15.24	5	3	10	15q11-q21.1	RCHTS		Roifman-Chitayat syndrome	613328	Fd	?1p36.23-p33	?Roifman-Chitayat syndrome (2)	
15.25	10	29	91	15q11-q22	MIC12		Antigen identified by monoclonal antibody 30.2A8	107254	S	in myoblasts, but not myotubes		
15.26	7	5	92	15q11-qter	HCVS		Human coronavirus sensitivity	122460	S			
15.27	5	2	01	15q15.1	EHD4		EH domain-containing 4	605892	R			
15.28	4	27	12	15q11.2	NIPA1, SPG6		Nonimprinted gene in Prader-Willi syndrome/Angelman syndrome chromosome region 1	608145	Fd, REc		Spastic paraplegia 6, autosomal dominant, 600363 (3)	7(Nipa1)
15.29	3	7	14	15q11.2	DEL15q11.2, C15DELq11.2		Chromosome 15q11.2 deletion syndrome	615656	Ch	deleted region spans 300-500kb between BP1 and BP2	Chromosome 15q11.2 deletion syndrome (4)	
15.30	4	7	15	15q11.2	MAGEL2, NDNL1, SHFYNG		MAGE-like 2	605283	REc		Schaaf-Yang syndrome, 615547 (3)	7(Magel2)
15.31	7	21	14	15q11.2	NBEAP1, BCL8		Neurobeachin pseudogene 1	601889	REc, A			
15.32	4	25	06	15q11.2	NIPA2		Nonimprinted gene in Prader-Willi syndrome/Angelman syndrome chromosome region 2	608146	REc, H			7(Nipa2)
15.33	5	26	13	15q11.2	PWRN1		Prader-Willi region noncoding RNA 1	611215	REc			
15.34	5	26	13	15q11.2	PWRN2		Prader-Willi region noncoding RNA 2	611217	REc			
15.35	3	23	15	15q11.2	SNHG14, LNCAT, UBE3AATS		Small nucleolar RNA host gene 14	616259	REc, H			7(Snhg14)
15.36	3	16	10	15q11.2	SNORD115-1, RNHBII52		Small nucleolar RNA, C/D box, 115-1	609837	REn, REc			
15.37	3	16	10	15q11.2	SNORD116-1, PWCR1		Small nucleolar RNA, C/D box, 116-1	605436	REc			
15.38	11	21	03	15q11.2	TUBGCP5, GCP5, KIAA1899		Tubulin-gamma complex-associated protein 5	608147	REc, H			7(Gcp5)
15.39	9	22	16	15q12	GABRB3, ECA5, EIEE43		Gamma-aminobutyric acid (GABA) A receptor, beta-3	137192	A, H, D, REn		{Epilepsy, childhood absence, susceptibility to, 5}, 612269 (3); Epileptic encephalopathy, early infantile, 43, 617113 (3)	7(Gabrb3)
15.40	1	9	95	15q12	GABRA5		Gamma-aminobutyric acid (GABA) A receptor, alpha-5	137142	A, REa, REb, D, REn	100kb from GABRB3		7(Gabra5)
15.41	1	9	95	15q12	GABRG3		Gamma-aminobutyric acid (GABA) A receptor, gamma-3	600233	REn	cen--G3--A5--B3		
15.42	4	18	05	15q11.2-q12	MGR7		Migraine with aura, susceptibility to, 7	609179	Fd	between D15S113 and D15S1019	{Migraine with aura, susceptibility to, 7} (2)	
15.43	1	17	08	15q12-q13	OCA2, P, PED, D15S12, BOCA, EYCL3, HCL3, SHEP1		Pink-eye dilution, murine, homolog of (oculocutaneous albinism II)	611409	D, REa, Fd	?hypopigmentation in PWS and AS	Albinism, oculocutaneous, type II, 203200 (3); Albinism, brown oculocutaneous, 203200 (3); [Skin/hair/eye pigmentation 1, blue/nonblue eyes], 227220 (3); [Skin/hair/eye pigmentation 1, blond/brown hair], 227220 (3)	7(p)
15.44	8	21	07	15q12	HPC7		Prostate cancer, hereditary, 7	610321	Fd		{Prostate cancer, hereditary, 7} (2)	
15.45	12	14	10	15q13.3	KLF13, RFLAT1, FKLF2		Kruppel-like factor 13	605328	REc			
15.46	6	15	12	15q11.2	NPAP1, C15orf2		Nuclear pore associated protein 1	610922	REc			
15.47	4	5	00	15q11.2	SNRPN		Small nuclear ribonucleoprotein polypeptide N	182279	REa, D		Prader-Willi syndrome, 176270 (3)	7(Snrpn)
15.48	7	25	06	15q12-q15	MCOPCB2		Microphthalmia, isolated, with coloboma 2	605738	Fd		Microphthalmia with coloboma 2 (2)	
15.49	1	13	17	15q15.1	MAPKBP1, JNKBP1, NPHP20		Mitogen-activated protein kinase-binding protein 1	616786	REc		Nephronophthisis 20, 617271 (3)	
15.50	2	11	14	15q13	SRTD1, ATD1		Short-rib thoracic dysplasia 1 with or without polydactyly	208500	Fd		Short-rib thoracic dysplasia 1 with or without polydactyly (2)	
15.51	9	22	09	15q13	SCZD13		Schizophrenia 13	613025	Ch	associated with deletion at 15q13.3	{Schizophrenia, susceptibility to, 13} (2)	
15.52	2	18	96	15q13.1	TJP1		Tight junction protein 1 (zona occludens 1)	601009	A			7(Tjp1)
15.53	8	21	98	15q13.3	FMN, LD		Formin (limb deformity)	136535	REa, A, Fd, Psh			2(ld)
15.54	10	7	02	15q14	SLC12A6, KCC3A, KCC3B, KCC3, ACCPN		Solute carrier family 12 (potassium/chloride transporters), member 6	604878	A, R, REa, Fd		Agenesis of the corpus callosum with peripheral neuropathy, 218000 (3)	
15.55	1	31	13	15q13.3	TRPM1, MLSN1, CSNB1C		Transient receptor potential cation channel, subfamily M, member 1 (melastatin)	603576	R		Night blindness, congenital stationary (complete), 1C, autosomal recessive, 613216 (3)	7(Mlsn1)
15.56	10	23	87	15q13-q15	B2MR		Beta-2-microglobulin regulator	109710	D			
15.57	6	15	12	15q13.3	GREM1, CKTSF1B1		Gremlin 1 homolog, cystine knot superfamily	603054	Psh, R			
15.58	11	13	94	15q15.3	MAP1A, MAP1L		Microtubule-associated protein 1A	600178	Psh			
15.59	11	19	13	15q13.1	HERC2, SHEP1, MRT38		HECT domain and RCC1-like domain 2	605837	Psh, R, REc	mutations in intron 4	[Skin/hair/eye pigmentation 1, blue/nonblue eyes], 227220 (3); [Skin/hair/eye pigmentation 1, blond/brown hair], 227220 (3); Mental retardation, autosomal recessive 38, 615516 (3)	
15.60	12	5	16	15q13.1	NSMCE3, NDNL2, MAGEG1, LICS		NSE3 homolog, SMC5-SMC6 complex component	608243	REc, H		Lung disease, immunodeficiency, and chromosome breakage syndrome, 617241 (3)	7(Ndnl2)
15.61	5	11	04	15q13.1-q15.1	CILD4		Ciliary dyskinesia, primary, 4	608646	Fd	between D15S1012 and D15S1048	Ciliary dyskinesia, primary, 4 (2)	
15.62	11	30	06	15q13.3	ARHGAP11A, KIAA0013		RHO GTPase-activating protein 11A	610589	Psh, REc			
15.63	4	10	15	15q13.2	ARHGAP11B, FAM7B1		RHO GTPase-activating protein 11B	616310	REc			
15.64	9	16	09	15q14	SPRED1, NFLS		Sprouty-related EVH1 domain-containing protein 1	609291	REc		Legius syndrome, 611431 (3)	2(Spred1)
15.65	9	14	12	15q13.3	FAN1, MTMR15, KIAA1018, KMIN		FANCD2/FANCI-associated nuclease 1	613534	REc		Interstitial nephritis, karyomegalic, 614817 (3)	
15.66	7	11	11	15q15.1	CHP		Calcineurin B homologous protein	606988	R, REc			
15.67	9	22	09	15q13.3	DEL15q13.3, MICRODEL15q13.3		Chromosome 15q13.3 microdeletion syndrome	612001	Ch		Chromosome 15q13.3 microdeletion syndrome (4)	
15.68	2	22	11	15q13.3	MIR211, MIRN211		Micro RNA 211	613753	REc			
15.69	10	18	11	15q15.1	NDUFAF1, CIA30, CGI65		NADH-ubiquinone oxidoreductase 1 alpha subcomplex, assembly factor 1	606934	REc		Mitochondrial complex I deficiency, 252010 (3)	
15.70	6	5	08	15q13.3	OTUD7A, OTUD7, C16orf15, CEZANNE2		OTU domain-containing protein 7A	612024	REc			
15.71	6	16	10	15q14	ACTC1, CMD1R, CMH11, ASD5, LVNC4		Actin, alpha, cardiac muscle	102540	REa, Fd, A		Cardiomyopathy, dilated, 1R, 613424 (3); Cardiomyopathy, hypertrophic, 11, 612098 (3); Atrial septal defect 5, 612794 (3); Left ventricular noncompaction 4, 613424 (3)	2(Actc1)
15.72	6	9	08	15q14	AGPAT7, AYTL3		1-acylglycerol-3-phosphate O-acyltransferase 7	612039	REc			
15.73	5	26	13	15q14	AQR, IBP160, KIAA0560		Aquarius, mouse, homolog of	610548	R, REc			2(Aqr)
15.74	7	9	06	15q15.1	BMF		BCL2-modifying factor	606266	REn			
15.75	2	13	14	15q14	C15orf41		Chromosome 15 open reading fram 41	615626	REc		Dyserythropoietic anemia, congenital, type Ib, 615631 (3)	
15.76	8	14	17	15q13.3	CHRNA7		Cholinergic receptor, nicotinic, alpha polypeptide-7	118511	A			7(Acra7)
15.77	11	22	13	15q15.1	CHST14, D4ST1, ATCS, EDSMC1		Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14	608429	REc		Ehlers-Danlos syndrome, musculocontractural type 1, 601776 (3)	
15.78	9	22	09	15q14	EIG7, EJM2		Epilepsy, idiopathic generalized, susceptibility to, 7	604827	Fd	?role of CHRNA7	{Epilepsy, idiopathic generalized, susceptibility to, 7} (2); Epilepsy, juvenile myoclonic (2)	
15.79	2	25	15	15q14	EMC4, TMEM85, PIG17		ER membrane protein complex subunit 4	616245	REc			
15.80	1	12	15	15q14	FAM98B		Family with sequence similarity 98, member B	616142	REc			
15.81	6	22	14	15q14	FSIP1, HSD10		Fibrous sheath-interacting protein 1	615795	REc			
15.82	12	27	07	15q14	GJD2, GJA9, CX36		Gap junction protein, delta-2 (connexin 36)	607058	A, H			2(Gja9)
15.83	1	12	15	15q14	GOLGA8A, KIAA0855		Golgin A8 family, member A	616180	R, REc			
15.84	10	5	04	15q14	GOLGA8B, KIAA0855		Golgi autoantigen, golgin subfamily A, 8B	609619	R, REc			
15.85	2	25	15	15q14	KATNBL1, C15orf29		Katanin, p80 subunit, B-like 1	616235	REc			
15.86	8	29	08	15q14-q15	GPR176		G protein-coupled receptor 176	612183	R, REc			
15.87	4	7	16	15q14	DEL15q14, C15DELq14		Chromosome 15q14 deletion syndrome	616898	Ch		Chromosome 15q14 deletion syndrome (4)	
15.88	3	31	03	15q15.1	IVD		Isovaleryl Coenzyme A dehydrogenase	607036	REa		Isovaleric acidemia, 243500 (3)	
15.89	12	28	11	15q14	NOLA3, NOP10, DKCB1		Nucleolar protein family A, member 3	606471	R, Fd		Dyskeratosis congenita, autosomal recessive 1, 224230 (3)	
15.90	11	4	93	15q13-q14	RYR3		Ryanodine receptor-3	180903	A, Psh			2(Ryr3)
15.91	10	16	92	15q15.1	ITPKA		Inositol 1,4,5-trisphosphate 3-kinase A	147521	A			
15.92	5	17	19	15q14	MEIS2, MRG1, CPCMR		Meis1, mouse, homolog of, 2	601740	Psh		Cleft palate, cardiac defects, and mental retardation, 600987 (3)	2(Mrg1)
15.93	6	9	17	15q21.1	BLOC1S6, BLOS6, PLDN, PA, HPS9		Biogenesis of lysosome-related organelles complex 1, subunit 6	604310	R	mutation identified in 1 HPS9 patient	?Hermansky-pudlak syndrome 9, 614171 (3)	2(Pa)
15.94	2	19	13	15q15.1	BUB1B, BUBR1, MVA1		Budding uninhibited by benzimidazoles 1, S. cerevisiae, homolog of, beta	602860	A		Colorectal cancer, somatic, 114500 (3); Mosaic variegated aneuploidy syndrome 1, 257300 (3); [Premature chromatid separation trait], 176430 (3)	
15.95	2	13	14	15q15.2	CDAN1, CDA1, CDAN1A		Codanin 1	607465	Fd, LD		Dyserythropoietic anemia, congenital, type Ia, 224120 (3)	
15.96	7	26	10	15q15.3	CKMT1A		Creatine kinase, mitochondrial 1A	613415	REc	telomeric to CKMT1B		
15.97	1	9	95	15q15.3	CKMT1B, CKMT1		Creatine kinase, mitochondrial 1B	123290	REa, A	centromeric to CKMT1A		2(Ckmt1)
15.98	5	19	09	15q21.1	DUOXA1		Dual oxidase maturation factor 1	612771	REc	tail-to-tail with DUOXA2		
15.99	9	29	09	15q21.1	DUOXA2, TDH5		Dual oxidase maturation factor 2	612772	REc	head-to-head with DUOX2	Thyroid dyshormonogenesis 5, 274900 (3)	
15.100	11	18	15	15q15.2	EPB42, SPH5		Erythrocyte surface protein band 4.2	177070	A		Spherocytosis, type 5, 612690 (3)	2(Epb4.2)
15.101	4	13	98	15q15.3	GRP58		Glucose regulated protein, 58kD	602046	A			2(Grp58)
15.102	10	24	14	15q15.1	MGA, KIAA0518		MAX dimerization protein MGA	616061	R, REc			2(Mga)
15.103	7	13	09	15q15.1	PLA2G4D		Phospholipase A2, Group IVD	612864	REc			
15.104	6	10	02	15q15.1	PLCB2		Phospholipase C, beta-2	604114	REa, A		Platelet PLC beta-2 deficiency (1)	
15.105	8	9	99	15q14	RASGRP1		Ras guanyl nucleotide releasing protein-1	603962	A			2(Rasgrp1)
15.106	8	3	12	15q15	SCZD10		Schizophrenia 10	605419	Fd	between D15S1042 and D15S659	{Schizophrenia 10} (2)	
15.107	8	30	01	15q21.1	SLC28A2, CNT2, SPNT1		Solute carrier family 28 (sodium-coupled nucleoside transporter), member 2	606208	R, A			2(Slc28a2)
15.108	6	1	12	15q15.2	STARD9, KIAA1300		START domain-containing protein 9	614642	R, REc			
15.109	11	8	01	15q15.3	STRC, DFNB16		Stereocilin	606440	REc, Fd		Deafness, autosomal recessive 16, 603720 (3)	
15.110	6	5	90	15q14	THBS1		Thrombospondin 1	188060	REa, A			2(Thbs1)
15.111	5	4	15	15q15.3	TUBGCP4, GCP4, MCCRP3		Tubulin-gamma complex-associated protein 4	609610	R, REc		Microcephaly and chorioretinopathy, autosomal recessive, 3, 616335 (3)	
15.112	1	12	95	15q15.3	MFAP1		Microfibrillar-associated protein-1	600215	REa, A, REc			
15.113	9	20	00	15q15.3	TP53BP1, 53BP1		Tumor protein p53-binding protein-1	605230	A			
15.114	6	19	98	15q21.1	DUT		dUTP pyrophosphatase	601266	A			
15.115	5	29	98	15q21.2	FGF7		Fibroblast growth factor-7 (keratinocyte growth factor)	148180	A, H			2(Fgf7)
15.116	8	23	04	15q21.1	SLC12A1, NKCC2		Solute carrier family 12 (sodium/potassium/chloride transporters), member 1	600839	H, Fd, LD		Bartter syndrome, type 1, 601678 (3)	2(Slc12a1)
15.117	12	7	05	15q15.2	UBR1, JBS		Ubiquitin-protein ligase E3-alpha	605981	H, REc, Fd		Johanson-Blizzard syndrome, 243800 (3)	2(Ubr1)
15.118	4	15	11	15q15.1	BAHD1, KIAA0945		BROMO-adjacent homology domain-containing protein 1	613880	R, REc			
15.119	3	3	16	15q15.1	DNAJC17		DNAJ/HSP40 homolog, subfamily C, member 17	616844	REc			2(Dnajc17)
15.120	10	7	14	15q15.1	KNSTRN, C15orf23, SKAP		Kinetochore-localized astrin/SPAG5 binding protein	614718	REc			
15.121	4	27	12	15q15.1	CHAC1		ChaC, E. coli, homolog of, 1	614587	REc			
15.122	2	13	14	15q15.1	EIF2AK4, GCN2, KIAA1338, PVOD2		Eukaryotic translation initiation factor 2-alpha kinase 4	609280	REc		Pulmonary venoocclusive disease 2, 234810 (3)	
15.123	9	23	08	15q15.1	FAM82A2, FAM82C, RMD3, PTPIP51		Family with sequence similarity 82, member A2	611873	REc			
15.124	5	25	13	15q15.1	GCHFR, GFRP		GTP cyclohydrolase I feedback regulatory protein	602437	REc			
15.125	7	9	15	15q15.1	INO80, INOC1		INO80 complex subunit	610169	REc			
15.126	6	12	17	15q15.1	KNL1, CASC5, AF15Q14, KIAA1570, D40, MCPH4		Kinetochore scaffold 1	609173	A, REc		Microcephaly 4, primary, autosomal recessive, 604321 (3)	
15.127	7	15	09	15q15.1	NUSAP1, ANKT, NUSAP		Nucleolar and spindle-associated protein 1	612818	REc			
15.128	10	09	18	15q15.1	OIP5, MIS18B		OPA-interacting protein 5	606020	REc			
15.129	5	10	11	15q15.1	PAK6		p21-activated kinase 6	608110	R, REc			
15.130	3	3	10	15q15.1	PPP1R14D, GBPI1		Protein phosphatase 1, regulatory subunit 14D	613256	REc			
15.131	12	15	16	15q15.1	RAD51A, RECA, MRMV2, FANCR		RAD51, S. cerevisiae, homolog of, A (E. coli RecA homolog)	179617	REa, A	mutation identified in 1 FANCR patient	{Breast cancer, susceptibility to}, 114480 (3); Mirror movements 2, 614508 (3); ?Fanconi anemia, complementation group R, 617244 (3)	2(Rad51)
15.132	10	13	09	15q15.1	RPAP1, KIAA1403		RNA polymerase II-associated protein 1	611475	R, REc			
15.133	9	2	10	15q15.1	RTF1, KIAA0252		RTF1, S. cerevisiae, homolog of	611633	R			
15.134	9	16	16	15q15.1	TYRO3		TYRO3 protein tyrosine kinase	600341	REa, Psh, REn			2(Tyro3)
15.135	11	19	15	15q15.1	VPS18		Vacuolar protein sorting 18, yeast, homolog of	608551	REc			
15.136	8	29	08	15q15.1	VPS39, VAM6, TLP, KIAA0770		Vacuolar protein sorting 39, yeast, homolog of	612188	R, REc			
15.137	1	2	03	15q15.1	GANC		Neutral alpha-glucosidase C	104180	S, REc			
15.138	4	9	15	15q15.3	CATSPER2		Cation channel, sperm-associated, 2	607249	A, REc, H	in region with tandem duplication containing a CATSPER2 pseudogene		2(Catsper2)
15.139	09	25	18	15q15.1	CAPN3, CANP3, LGMDR1, LGMDD4		Calpain, large polypeptide L3	114240	REb, Fd, A, REn, H		Muscular dystrophy, limb-girdle, autosomal recessive 1, 253600 (3); Muscular dystrophy, limb-girdle, autosomal dominant 4, 618129 (3)	2(Canp3)
15.140	1	9	95	15q15.1	LTK, TYK1		Leukocyte tyrosine kinase	151520	REa, Psh			2(Ltk)
